no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
,Hypentelium,nigricans,Chordata,Actinopterygii,NA,Catostomidae,NA,1095,3-4 years (NatureServe Explorer),730,2-3 years (NatureServe Explorer),,0-1,"MOVEMENT: limited movement+ home range of less than 130m (DOI: 10.2307/2425434)
LARVAE: eggs in 5-6 inches of water (DOI: 10.2307/2421622)",,,61,TL male/unsexed -fishbase,29.8,TL male/unsexed -fishbase,29.8,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.013,home range of less than 130m+ assumed linear distance upstream to downstream+ used as diameter (DOI: 10.2307/2425434),Nikki,4015,11 years max (https://doi.org/10.1656/1528-7092(2007)6[479:LHAOHE]2.0.CO;2),
,Micropterus,salmoides,Chordata,Actinopterygii,NA,Centrarchidae,NA,90,3-12 months (https://animaldiversity.org/accounts/Micropterus_salmoides/),90,3-12 months (https://animaldiversity.org/accounts/Micropterus_salmoides/),Y,0-1,MOVEMENT: strong homing and nest site fidelity (https://doi.org/10.1577/M03-048.1) with max habitat use of about 700m (https://doi.org/10.1080/15627020.2015.1079141),,,97,TL male/unsexed -fishbase,40,TL male/unsexed -fishbase,40,TL male/unsexed -fishbase,Y,fall-winter,"""during the fall+ the bass seek out a protected+ inconspicuous hiding place and become inactive"" (https://doi.org/10.1152/ajpregu.1984.246.4.R479)",non-migratory,IUCN Red List,NA,NA,NA,0.1-2,https://animaldiversity.org/accounts/Micropterus_salmoides/,Nikki,8395,16 average+ 23 years max (fishbase + ADW),
,Micropterus,dolomieu,Chordata,Actinopterygii,NA,Centrarchidae,sub-adults,2007,AnAge,2007,AnAge,,0-1,"MOVEMENT: few hundred yards of home range (https://animaldiversity.org/accounts/Micropterus_dolomieu/)+ site fidelity to nest site of 200m (https://doi.org/10.1139/z91-436)+ travel to pools 800m away (https://doi.org/10.1577/1548-8659(1980)109<364:HOASBI>2.0.CO;2) 
LARVAE: fry swim out of nest (Etnier+ D.+ W. Starnes. 1993. The Fishes of Tennessee. Knoxville+ TN: University of Tennessee Press.) ",,,69,TL male/unsexed -fishbase,8,TL male/unsexed -fishbase,8,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.13-2.01,"""405m in length"" travelling to pools 800m away (https://doi.org/10.1577/1548-8659(1980)109<364:HOASBI>2.0.CO;2) used as diameter and then radius",Nikki,9490,6-14 average+ 26 years max (fishbase + ADW),
,Dorosoma,cepedianum,Chordata,Actinopterygii,NA,Clupeidae,NA,730,AnAge,730,AnAge,,unk,LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found,,,57,TL male/unsexed -fishbase,35,SL male/unsexed -fishbase,35,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,3650,4-6 years average+ 10 years max (fishbase + NatureServe Explorer),
,Sardinops,sagax,Chordata,Actinopterygii,NA,Clupeidae,NA,821,AnAge,821,AnAge,,unk,LARVAE: pelagic larvae (Miller+ J. M.+ Reed+ J. P.+ & Pietrafesa+ L. J. (1984). Patterns+ mechanisms and approaches to the study of migrations of estuarine-dependent fish larvae and juveniles. In Mechanisms of migration in fishes (pp. 209-225). Springer+ Boston+ MA.),,,39.5,SL male/unsexed -fishbase,20,SL male/unsexed -fishbase,20,SL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,summer,summer,"DISTANCE: California to Vancouver island+ 100km+ (https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_pacific_sardine_e.pdf)
TIMING: depends on subpopulation entirely+ summer is a large generalization
POPULATION SPECIFIC: timing+ see IUCN ",unk,,Nikki,25*365,7-25 years max (IUCN Red List),
,Cottus,bairdii,Chordata,Actinopterygii,NA,Cottidae,NA,730,AnAge,730,AnAge,,0-1,"MOVEMENT: 180m maximum movement of adult (https://animaldiversity.org/accounts/Cottus_bairdii/)
LARVAE: larvae develop in nest ",,,15,TL male/unsexed -fishbase,8.4,TL male/unsexed -fishbase,8.4,TL male/unsexed -fishbase,Y,none,active during winter (https://doi.org/10.1139/F08-189),non-migratory,IUCN Red List,NA,NA,NA,0.0000196,less than 50m (https://animaldiversity.org/accounts/Cottus_bairdii/) assumed to be diameter ,Nikki,730,2 years max (fishbase),
,Cottus,carolinae,Chordata,Actinopterygii,NA,Cottidae,NA,730,AnAge,730,AnAge,,0-1,"MOVEMENT: more than 200m in capture-recapture+ fig 1(https://doi.org/10.1111/eff.12274)
LARVAE: benthic nest spawners ",,,18,TL male/unsexed -fishbase,9.5,TL male/unsexed -fishbase,9.5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.000042,42m^2 or less (NatureServe Explorer),Nikki,1460,4 years max (NatureServe Explorer),
,Campostoma,anomalum,Chordata,Actinopterygii,NA,Cyprinidae,sub-adults,730,2-4 years depending on location (NatureServe Explorer),730,2-4 years depending on location (NatureServe Explorer),Y,1-10,MOVEMENT: site fidelity is variable+ may move large distances up- and down-stream during a single day within a general location or they may completely abandon an area if a large predator moves into a pool (https://doi.org/10.1139/f97-083),,,22,TL male/unsexed -fishbase,18.7,TL male/unsexed -fishbase,18.7,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,2190,6 years max reported (https://animaldiversity.org/accounts/Campostoma_anomalum/),
,Couesius,plumbeus,Chordata,Actinopterygii,NA,Cyprinidae,NA,1095,https://animaldiversity.org/accounts/Couesius_plumbeus/,1095,https://animaldiversity.org/accounts/Couesius_plumbeus/,Y,0-1,"MOVEMENT: recapture showns no intermingling of populations separated by ~1-2km (https://doi-org.proxy3.library.mcgill.ca/10.1139/f70-117)
MIGRATION: migrate up to 3km for spawning (DOI: 10.1139/f70-117)
LARVAE: non-pelagic fish ",,,23,TL male/unsexed -fishbase,10.5,TL male/unsexed -fishbase,10.5,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,https://animaldiversity.org/accounts/Couesius_plumbeus/,NA,NA, up to 40km in some cases but not confirmed that they stay in stream for a long time (https://www.umoncton.ca/sites/prof.prod.umoncton.ca/files/users/user109/Tech%20report%20chub%20and%20sucker%20movement.pdf) migrate locally 0.8-1.6km for spawning (https://animaldiversity.org/accounts/Couesius_plumbeus/),unk,,Nikki,2555,4-5 years average+ 7 years max (https://animaldiversity.org/accounts/Couesius_plumbeus/),
,Ctenopharyngodon,idella,Chordata,Actinopterygii,NA,Cyprinidae,sub-adults,1520,AnAge,1460,AnAge,,10-100,"MOVEMENT: displacement ranged from 182.9 m to 18+292.6 m (https://doi.org/10.1577/1548-8659(1978)107<146:MOGCCI>2.0.CO;2)
LARVAE: spawn on river beds with very strong current (fishbase)+ eggs found to possibly move 25km using dispersal model depending on current (https://doi.org/10.1371/journal.pone.0119023) possible of 18km displacement in a month (https://doi.org/10.1577/1548-8659(1978)107<146:MOGCCI>2.0.CO;2)",,,150,TL male/unsexed -fishbase,10.7,SL male/unsexed -fishbase,10.7,SL male/unsexed -fishbase,Y,none,shown to be active in winter (https://doi.org/10.1577/1548-8659(1978)107<146:MOGCCI>2.0.CO;2),non-migratory,NatureServe Explorer,NA,NA,NA,32.32,mean home range 3+234 ha (https://doi.org/10.1577/1548-8659(1997)126<0467:DAMBOR>2.3.CO;2),Nikki,7665,15-20 years+ 21 years max (fishbase + NatureServe Explorer),
,Cyprinus,carpio,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,1460,4-6 years (IUCN Red List),1095,3-5 years (IUCN Red List),,10-100,"MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x)
LARVAE: adhesive eggs and larvae inhabit backwater 
",,,120,TL male/unsexed -fishbase,31,TL male/unsexed -fishbase,31,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x,NA,NA,figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def. ,78.54,80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x),Nikki,13870,17-20 years typical+ 38 years max (fishbase + NatureServe Explorer),
,Labeo,rohita,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,1073,AnAge,985,AnAge,,unk,,,,200,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,undergo local migration only (https://doi.org/10.1111/jai.12141),NA,NA,NA,unk,,Nikki,3650,10 years max (fishbase),
,Leuciscus,idus,Chordata,Actinopterygii,NA,Cyprinidae,NA,2007,AnAge,1825,AnAge,,100+,"MOVEMENT: in one population+ none returned to same river to spawn so assume low fidelity+ used 35-187km of river (https://doi.org/10.1046/j.1095-8649.2003.00193.x)
MIGRATION: up to 99km migrated during spawning season (https://doi.org/10.1111/j.1095-8649.2009.02198.x)",,,85,SL male/unsexed -fishbase,30,TL male/unsexed -fishbase,30,TL male/unsexed -fishbase,Y,none,no burrowing (https://doi.org/10.1111/j.1095-8649.2009.02198.x),migratory,IUCN Red List,Mar-Apr,Mar-Apr,"DISTANCE: up to 99km during spawning season (https://doi.org/10.1111/j.1095-8649.2009.02198.x)+ up to 187km (https://doi.org/10.1046/j.1095-8649.2003.00193.x)
TIMING: migrates to tributaries from lake to spawn once a season+ Mar-Apr (IUCN Red List)",0.0194958,mean home range size (https://doi.org/10.1111/j.1095-8649.2009.02198.x),Nikki,6570,15 years max (IUCN Red List) 18 years max (fishbase),
,Rutilus,rutilus,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,1095,AnAge,730,AnAge,,0-1,"MOVEMENT: found to move max of 3km in recapture study (DOI: 10.2307/2374) but most returned to spawning site after 3.3km release away (https://doi.org/10.1111/j.1095-8649.1977.tb05717.x)
LARVAE: larvae inhabit littoral zone",,,50.2,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,Y,none,short distance migration in winter (https://doi.org/10.1111/j.1600-0633.2006.00132.x),non-migratory,potamodromous+ migrate to spawn in upstream portion of river in April/May but distance not clear (https://doi.org/10.1007/PL00001322) distances of other migrations less than 10km (https://doi.org/10.1098/rsbl.2012.1178),NA,NA,NA,0.018,83% recaptured within 75 m+ treated as radius (DOI: 10.2307/2374),Nikki,5110,13 years (IUCN Red List) 14 years max (fishbase),
,Scardinius,erythrophthalmus,Chordata,Actinopterygii,NA,Cyprinidae,NA,1460,AnAge,1095,AnAge,,unk,,,,61.7,TL male/unsexed -fishbase,,,,,,none,"""dormant"" during winter and feed little+ but do not burrow (Kennedy+ M.+ & Fitzmaurice+ P. (1974). Biology of the Rudd Scardinius erythrophthalmus (L) in Irish Waters. Proceedings of the Royal Irish Academy. Section B: Biological+ Geological+ and Chemical Science+ 74+ 245-303. Retrieved January 10+ 2020+ from www.jstor.org/stable/20518951)",non-migratory,no spawning/overwintering migration in life history (Kennedy+ M.+ & Fitzmaurice+ P. (1974). Biology of the Rudd Scardinius erythrophthalmus (L) in Irish Waters. Proceedings of the Royal Irish Academy. Section B: Biological+ Geological+ and Chemical Science+ 74+ 245-303. Retrieved January 10+ 2020+ from www.jstor.org/stable/20518951),NA,NA,NA,unk,,Nikki,6935,17-19 years max (fishbase + IUCN Red List),
,Semotilus,atromaculatus,Chordata,Actinopterygii,NA,Cyprinidae,NA,1095,AnAge,1095,AnAge,,0-1,"MOVEMENT: travel up to 600m (https://animaldiversity.org/accounts/Semotilus_atromaculatus/)
LARVAE: larval stage between 18-27 days+ spawn in nests in pools of creek",,,30.3,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.013-0.03,maximum range of 130-195m upstream and downstream+ assumed to be diameter (https://doi.org/10.1111/j.1600-0633.2007.00277.x),Nikki,2920,3-8 typical+ 8 years max (fishbase),
,Esox,lucius,Chordata,Actinopterygii,NA,Esocidae,juveniles,1116,AnAge,889,AnAge,,1-10,"MOVEMENT: exhibit both natal-site and spawning-site fidelity+ populations separated by 14.8 km (https://doi.org/10.1577/1548-8659(2001)130<0307:SSANSF>2.0.CO;2 ) movements daily of 4km max with most less than 1km (https://doi.org/10.1577/1548-8659(1977)106<560:MAHPON>2.0.CO;2)
GENETIC: microsat suggests reproductive isolation of overlapping populations found (https://doi.org/10.1577/1548-8659(2001)130<0307:SSANSF>2.0.CO;2 )
LARVAE: ""young remain in spawning habitat for several weeks after hatching"" so assume larval dispersal small (IUCN Redlist)",,,137,TL male/unsexed -fishbase,40,TL male/unsexed -fishbase,40,TL male/unsexed -fishbase,Y,none,no difference between winter and summer movements (https://doi.org/10.1577/1548-8659(1977)106<560:MAHPON>2.0.CO;2),non-migratory,IUCN Red List,NA,NA,NA,0.0002-0.95,0·02–0·95 ha (https://doi.org/10.1111/j.1095-8649.2008.01989.x),Nikki,10950,12 years+ 30 years max (fishbase) (https://animaldiversity.org/accounts/Esox_lucius/),
,Esox,masquinongy,Chordata,Actinopterygii,NA,Esocidae,NA,1825,AnAge,1460,AnAge,,1-10,"MOVEMENT: reproductive site fidelity in 55% to 93% of captured fish but others moved between sites within lakes+ sites were from ~1-10km apart (https://doi.org/10.1080/02755947.2011.590118)
LARVAE: ""spawning occurs in water less than 1 metre deep in heavily vegetated flooded areas. Eggs sink and stick to bottom or vegetation"" (IUCN Red List) larvae not exposed to large current 
MIGRATION: may migrate 40km between spawning and non-spawning (NatureServe Explorer)",,,183,TL male/unsexed -fishbase,95,TL male/unsexed -fishbase,95,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.39-4.43,surface area of home range from 39-443 ha using minimum convex polygon method (https://doi.org/10.1007/BF00842978),Nikki,10950,19 typical+ 30 years max (fishbase + ADW),
,Gobius,paganellus,Chordata,Actinopterygii,NA,Gobiidae,NA,912,AnAge,912,AnAge,,0-1,"MOVEMENT: 60% and 64% of individuals considered residents (https://doi.org/10.1016/j.ecolind.2016.06.055) and found site fidelity to rock pools of 0.79-16.9m^2 (DOI: 10.1111/jai.13553)
LARVAE: ""larvae remain near the substrate until they assume the cryptobenthic behaviour of the adults"" (IUCN Red List)",,,13,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,non-migratory,only sublittoral migration (https://doi.org/10.1017/S0025315400016283),NA,NA,NA,0.00000079-0.0000169,found site fidelity to rock pools of 0.79-16.9m^2 (DOI: 10.1111/jai.13553),Nikki,3650,10 years max (fishbase),
,Ameiurus,melas,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,730,AnAge,730,AnAge,,unk,"LARVAE: ""fry remain close to adult for around two weeks"" implies no large dispersal of larvae",,,66,TL male/unsexed -fishbase,26.6,TL male/unsexed -fishbase,26.6,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,kunk,https://animaldiversity.org/accounts/Ameiurus_melas/,Nikki,3650,5 years average+ 10 years max (fishbase + ADW),
,Ameiurus,natalis,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,730,AnAge,730,AnAge,,unk,"LARVAE: ""young fry are herded into tight schools by the male and protected until they are approximately two inches long."" (https://animaldiversity.org/accounts/Ameiurus_natalis/)",,,60,TL male/unsexed -fishbase,22.5,TL male/unsexed -fishbase,22.5,TL male/unsexed -fishbase,Y,none,found to move under the ice (DOI: 10.2307/1439630),non-migratory,IUCN Red List,NA,NA,NA,kunk,https://animaldiversity.org/accounts/Ameiurus_natalis/,Nikki,2555,4 years avergae+ 7 years max (https://animaldiversity.org/accounts/Ameiurus_natalis/) ,
,Dicentrarchus,labrax,Chordata,Actinopterygii,Perciformes,Moronidae,juveniles,1460,AnAge,730,AnAge,,100+,"LARVAE: PLD 2-3 months (https://animaldiversity.org/accounts/Dicentrarchus_labrax/)
MIGRATION: 400+ km moved by adults (https://doi.org/10.1017/S0025315400026448)",,,103,TL male/unsexed -fishbase,50,SL male/unsexed -fishbase,50,SL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,autumn/winter,autumn/winter,"DISTANCE: 400km+ between summer and winter spawning habitat (https://doi.org/10.1017/S0025315400026448)
TIMING: move inshore in spring and summer+ move into deeper water late autumn+ since considered inshore then autumn-winter is when away (https://animaldiversity.org/accounts/Dicentrarchus_labrax/)",804.25,majority stayed within 16km of tagging location+ used as radius (https://doi.org/10.1017/S0025315400026448),Nikki,10950,30 years max (fishbase),
,Morone,chrysops,Chordata,Actinopterygii,Perciformes,Moronidae,juveniles,1095,AnAge,730,AnAge,,100+,"LARVAE: (https://doi.org/10.1577/1548-8659(1983)112<390:LFT>2.0.CO;2) indicates potential for 100km+ larval dispersal
MIGRATION: ""May migrate over 200 km to upstream spawning areas+ but usually not that far"" (NatureServe Explorer) and 
",,,45,TL male/unsexed -fishbase,31.8,TL male/unsexed -fishbase,31.8,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.00374-52.22,"""shortest distance required to travel between the two most extreme locations"" ranged from 69-8154m so considered as diameter (https://doi.org/10.1111/j.1600-0633.2009.00377.x)",Nikki,3285,4-8 typical+ 9 years max (fishbase + ADW),
,Mugil,cephalus,Chordata,Actinopterygii,Mugiliformes,Mugilidae,NA,730,AnAge,730,AnAge,,10-100,"MOVEMENT: 90.8% recaptured in same habitat and those that weren't were captured max 15km away (Strydom+ N. A.+ & d'Hotman+ B. D. (2005). Estuary-dependence of larval fishes in a non-estuary associated South African surf zone: evidence for continuity of surf assemblages. Estuarine+ Coastal and Shelf Science+ 63(1-2)+ 101-108.)
MIGRATION: migrate 65-80km offshore to spawn (https://animaldiversity.org/accounts/Mugil_cephalus/)
LARVAE:  process of passive dispersal for approximately 1 mo after spawning+ they metamorphose from larvae to juveniles and are actively recruited to the estuarine nursery ",,,100,SL male/unsexed -fishbase,50,TL male/unsexed -fishbase,50,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,Animal Diversity Web,autumn/winter,NA,"DISTANCE: 65-80km (https://animaldiversity.org/accounts/Mugil_cephalus/)
TIMING: catadromous+ migrate offshore to spawn in autumn and winter months (https://animaldiversity.org/accounts/Mugil_cephalus/)",kunk,https://animaldiversity.org/accounts/Mugil_cephalus/,Nikki,5840,7-8 years+ average of 5+ 16 years max (fishbase + IUCN Red List),
,Trematomus,bernacchii,Chordata,Actinopterygii,NA,Nototheniidae,NA,2007,AnAge,1277,AnAge,,100+,LARVAE: PLD few months to a year - demersal eggs with pelagic larvae (https://www.researchgate.net/profile/Anton_Van_de_Putte/publication/236333346_Ecology_and_evolution_of_fishes_in_the_Southern_Ocean_with_special_focus_on_the_myctophid_Electrona_antarctica/links/5d0238fb299bf13a385173bc/Ecology-and-evolution-of-fishes-in-the-Southern-Ocean-with-special-focus-on-the-myctophid-Electrona-antarctica.pdf#page=138),,,28,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,Y,none,small movements witnessed under the sea ice (https://doi.org/10.2331/fishsci.65.315),non-migratory,"""resident"" https://doi.org/10.1016/j.marpolbul.2014.08.012",NA,NA,NA,0.79,maximum distance recaptured was 500m radius away (https://doi.org/10.2331/fishsci.65.315) ,Nikki,3650,10 years max (fishbase),
,Perca,fluviatilis,Chordata,Actinopterygii,NA,Percidae,juveniles,1368,AnAge,821,AnAge,,10-100,"LARVAE: PLD 3-4 weeks (http://www.evolutionary-ecology.com/issues/v11/n05/kkar2384.pdf) 
MOVEMENT: 3km max from release (Bruylants+ B.+ Vandelannoote+ A.+ & Verheyen+ R. (1986). The movement pattern and density distribution of perch+ Perca fluviatilis L.+ in a channelized lowland river. Aquaculture Research+ 17(1)+ 49-57.)",,,60,SL male/unsexed -fishbase,25,TL male/unsexed -fishbase,25,TL male/unsexed -fishbase,Y,none,documented activity in winter (Le Cren+ E. D. (1951). The length-weight relationship and seasonal cycle in gonad weight and condition in the perch (Perca fluviatilis). The Journal of Animal Ecology+ 201-219.),non-migratory,Riede+ K.+ 2004. Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation+ Bonn+ Germany. 329 p.,NA,NA,migration during winter to deep water+ but local within lake (DOI: 10.2307/1016),0.0000665-0.015,4.6-68m mean displacement+ treated as radius (Bruylants+ B.+ Vandelannoote+ A.+ & Verheyen+ R. (1986). The movement pattern and density distribution of perch+ Perca fluviatilis L.+ in a channelized lowland river. Aquaculture Research+ 17(1)+ 49-57.),Nacho/Nikki,8030,usually about 6 years (IUCN Red List)+ 22 years max - fishbase (Beverton+ R.J.H. and S.J. Holt+ 1959. A review of the lifespans and mortality rates of fish in nature+ and their relation to growth and other physiological characteristics. p. 142-180. In G.E.W. Wolstenholme and M. O'Connor (eds.) CIBA Foundation colloquia on ageing: the lifespan of animals. volume 5. J & A Churchill Ltd+ London.),
